id;ncdilam;thangcc;nclephep;xeploai;ngayththuong;ngaythle
1;13425;amidst;20386;aha amid;3838;32455
2;1563;coolly reopen;6600;original beneath;24108;25833
3;30416;black-and-white before;123;rudiment cirrus superb;9120;22942
4;876;yowza;11265;considering safeguard;17953;21859
5;11828;er gah correctly;10977;proper;21527;29679
6;11085;scientific normal gah;17229;expert hungrily inasmuch;30916;14320
7;5455;girdle;23710;unimpressively whoa boo;25605;32017
8;24901;beside brr well-off;496;ah lands;4925;16301
9;693;onto;28110;broadly fully;16080;12500
10;27306;vivaciously thoughtfully conjugate;19276;apud anxiously;19281;7258
