id;ngaythang;tkn;tkc;sotien;diengiai
1;upward;4340;117;28544.07;out
2;arrogantly;17206;17708;21998.48;beat agreeable mishit
3;while;15971;17186;19308.36;abaft experienced
4;hmph concern;16393;28593;11128.94;before round anxiously
5;unexpectedly vaguely raise;12949;24360;19743.18;for
6;instead unique against;23549;14768;9619.87;ick
7;inasmuch;9907;27243;1605.21;fervently yippee pamphlet
8;mockingly clang valiantly;30116;86;28153.02;semaphore squeaky
9;mantle admired inauguration;21018;6858;16659.51;centre
10;gently forked;26654;29774;25958.51;gather
