id;thangnam;ncchuan;giocchuan;hsgioth;hsgiole;pcan;tlbhxh;tlbhyt;tlbhtn;tlkpcd
1;decontaminate;6699;18395;22267.31;18706.46;13206;14763.31;21658.42;composition instead punctually;6829.12
2;behind mid medication;13683;17861;30854.11;18680.11;3985;11860.11;26797.11;boo hire;4236.45
3;furthermore aching metronome;8888;3753;22535.56;23774.34;15216;24086.21;30276.44;if maltreat;27694.53
4;droopy plagiarise;9528;31242;11788.38;8894.89;17156;6641.92;29262.7;woefully;27583.54
5;finally ah duh;8351;29268;16794.92;27564.93;26468;14130.29;14601.52;minus though;11374.74
6;dependency yippee barring;18418;32214;25176.02;3619;20059;25535.95;5545.05;unwelcome;25766.86
7;now pal;1812;24171;3005.36;8123.75;6019;21867.03;13052.01;which;22162.65
8;why invest;30232;20218;4019.54;851.82;21705;23499.06;4530.82;contact;31976.35
9;yum extroverted;25489;29406;19016.41;14444.43;15311;1482.23;30980.01;codling innocent interestingly;30424.89
10;beyond;18466;30151;11954.4;28781.84;22610;6.54;24907.67;bust next;18652.12
